id,content,label,type
1.25601E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,always told ya the pharma mafia will push any exorbitantly priced drug like remdesivir as no one amongst the corporate amp govt mafia or who will stand to benefit from cheap amp effective generic drug hydroxychloroqine chloroquine coronavirus iv vit c in high doses will do too",2,test
1.24657E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,if you take metformin for any reason you should be aware of this possible severe adverse reaction with hydroxychloroquine caveats preprint not peer reviewed mouse study",1,training
1.25372E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,coronavirus fda issues warnings on chloroquine and hydroxychloroquine after serious poisoning and death reported",1,training
1.24734E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,thank you  la doctor seeing success with hydroxychloroquine to treat covid19 a los angeles doctor said he is seeing significant success in prescribing the malaria drug hydroxychloroquine in combination with zinc to treat",2,training
1.24805E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,cdc quietly deletes hydroxychloroquine guidance as study hyped by trump comes into question  the publisher of a french study cited by trump put out a statement announcing it did not meet expected standards",1,training
1.24702E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,we all want to know will gov cuomo of new york will andrew deny his brother chris the treatment of hydroxychloroquine just asking",2,training
1.24906E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,hydroxychloroquine doesnt look like its the right treatment for covid19 patients recent publication of nej",1,training
1.24877E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,twitter forces laura ingraham to delete post on chloroquine helping coronavirus patients this is a problem america freedom of speech ",2,test
1.25332E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,please study this closely for all the wisdom trump has shared with us  its missing the most recent items hydroxychloroquine anyone but it clearly illustrates his sense of urgency and his",1,training
1.25291E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,i am writing a tell all book about trumps response to the covid crisis  title suggestions  dr donald and the lethal hydroxychloroquine",1,training
1.24699E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,coronavirus is bad for them hydroxychloroquine is showing results many doctors all over the world are prescribing it its a cheap drug made by several companies novartis mylan and teva to supply tens of millions of chloroquine tablets to fight covid19",2,training
1.25272E+018,"chloroquine hydroxychloroquine are cure for the novel coronavirus,outcomes of hydroxychloroquine usage in united states veterans hospitalized with covid19  medrxiv",1,training
